player_id;dorsal;Player;position;Squad;MP;Starts;Min;Gls;Ast;CrdY;CrdR
5839;1;Daniel Carnevali;GK;Argentina;5;5;450;0;;0;0
5178;12;Ubaldo Fillol;GK;Argentina;1;1;90;0;;0;0
5840;21;Miguel Ángel Santoro;GK;Argentina;0;0;0;0;;0;0
5841;5;Ángel Bargas;DF;Argentina;3;3;246;0;;1;0
5842;7;Jorge Carrascosa;DF;Argentina;2;1;135;0;;0;0
5843;9;Rubén Glaria;DF;Argentina;3;1;166;0;;0;0
5844;10;Ramón Heredia;DF;Argentina;6;6;540;1;;1;0
5845;14;Roberto Perfumo ;DF;Argentina;4;4;360;0;;2;0
5846;16;Francisco Sá;DF;Argentina;5;5;405;0;;0;0
5847;20;Enrique Wolff;DF;Argentina;5;5;374;0;;0;0
5848;3;Carlos Babington;MF;Argentina;5;5;450;1;;3;0
5849;6;Miguel Ángel Brindisi;MF;Argentina;4;3;258;1;;0;0
5850;8;Enrique Chazarreta;MF;Argentina;1;0;13;0;;0;0
5576;11;René Houseman;MF;Argentina;6;4;372;3;;1;0
5851;17;Carlos Squeo;MF;Argentina;2;2;180;0;;0;0
5852;18;Roberto Telch;MF;Argentina;5;4;384;0;;0;0
5853;19;Néstor Togneri;MF;Argentina;0;0;0;0;;0;0
5854;2;Rubén Ayala;FW;Argentina;6;6;540;1;;0;0
5855;4;Agustín Balbuena;FW;Argentina;4;3;309;0;;0;0
5191;13;Mario Kempes;FW;Argentina;6;5;411;0;;0;0
5856;15;Aldo Poy;FW;Argentina;0;0;0;0;;0;0
5857;22;Héctor Yazalde;FW;Argentina;3;3;257;2;;0;0
5858;1;Jack Reilly;GK;Australia;3;3;270;0;;0;0
5859;21;Jim Milisavljevic;GK;Australia;0;0;0;0;;0;0
5860;22;Allan Maher;GK;Australia;0;0;0;0;;0;0
5861;2;Doug Utjesenovic;DF;Australia;3;3;270;0;;0;0
5862;3;Peter Wilson ;DF;Australia;3;3;270;0;;0;0
5863;4;Manfred Schaefer;DF;Australia;3;3;270;0;;0;0
5864;5;Colin Curran;DF;Australia;3;3;261;0;;0;0
5865;15;Harry Williams;DF;Australia;1;0;9;0;;0;0
5866;16;Ivo Rudic;DF;Australia;0;0;0;0;;0;0
5867;17;Dave Harding;DF;Australia;0;0;0;0;;0;0
5868;6;Ray Richards;MF;Australia;3;3;262;0;;1;1
5869;7;Jimmy Rooney;MF;Australia;3;3;270;0;;0;0
5870;8;Jimmy Mackay;MF;Australia;3;3;270;0;;1;0
5871;9;Johnny Warren;MF;Australia;1;1;90;0;;0;0
5872;13;Peter Ollerton;MF;Australia;2;0;56;0;;0;0
5873;14;Max Tolson;MF;Australia;0;0;0;0;;0;0
5874;18;Johnny Watkiss;MF;Australia;0;0;0;0;;0;0
5875;19;Ernie Campbell;MF;Australia;1;1;45;0;;0;0
5876;10;Garry Manuel;FW;Australia;0;0;0;0;;0;0
5877;11;Attila Abonyi;FW;Australia;2;1;135;0;;0;0
5878;12;Adrian Alston;FW;Australia;3;3;244;0;;0;0
5879;20;Branko Buljevic;FW;Australia;3;3;240;0;;0;0
4775;1;Leão;GK;Brazil;7;7;630;0;;0;0
5880;12;Renato Cunha;GK;Brazil;0;0;0;0;;0;0
5226;22;Waldir Peres;GK;Brazil;0;0;0;0;;0;0
5881;2;Luís Pereira;DF;Brazil;6;6;533;0;;1;1
5882;3;Marinho Peres;DF;Brazil;7;7;630;0;;2;0
5883;4;Zé Maria;DF;Brazil;4;4;360;0;;1;0
5884;6;Marinho Chagas;DF;Brazil;7;7;630;0;;1;0
5594;14;Nelinho;DF;Brazil;3;3;270;0;;0;0
5885;15;Alfredo;DF;Brazil;1;1;90;0;;0;0
5886;16;Marco Antônio;DF;Brazil;0;0;0;0;;0;0
5887;5;Piazza ;MF;Brazil;3;3;238;0;;0;0
5888;8;Leivinha;MF;Brazil;3;3;163;0;;0;0
5889;10;Rivellino;MF;Brazil;7;7;630;3;;1;0
5890;11;Paulo Cézar;MF;Brazil;5;5;420;0;;0;0
5891;17;Carpegiani;MF;Brazil;6;5;476;0;;1;0
5892;18;Ademir da Guia;MF;Brazil;1;1;65;0;;0;0
5893;7;Jairzinho;FW;Brazil;7;7;630;2;;2;0
5894;9;César;FW;Brazil;0;0;0;0;;0;0
5895;13;Valdomiro;FW;Brazil;6;5;531;1;;0;0
5896;19;Mirandinha;FW;Brazil;4;1;177;0;;1;0
5897;20;Edu;FW;Brazil;1;1;90;0;;0;0
5238;21;Dirceu;FW;Brazil;4;4;360;0;;1;0
5898;1;Rumyancho Goranov;GK;Bulgaria;2;2;180;0;;0;0
5899;21;Stefan Staykov;GK;Bulgaria;1;1;90;0;;0;0
5900;22;Simeon Simeonov;GK;Bulgaria;0;0;0;0;;0;0
5901;2;Ivan Zafirov;DF;Bulgaria;0;0;0;0;;0;0
5902;3;Dobromir Zhechev;DF;Bulgaria;0;0;0;0;;0;0
5903;5;Bozhil Kolev;DF;Bulgaria;3;3;270;0;;0;0
5904;6;Dimitar Penev;DF;Bulgaria;3;3;270;0;;0;0
