player_id;player_name;team;goals;assists;min.tot
1;Grzegorz Lato;Poland;7;;630
2;Johan Neeskens;Netherlands;5;;612
3;Andrzej Szarmach;Poland;5;;425
4;Johnny Rep;Netherlands;4;;630
5;Ralf Edström;Sweden;4;;540
6;Gerd Müller;West Germany;4;;630
7;René Houseman;Argentina;3;;372
8;Rivellino;Brazil;3;;630
9;Johan Cruyff ;Netherlands;3;;630
10;Kazimierz Deyna ;Poland;3;;619
11;Paul Breitner;West Germany;3;;630
12;Dušan Bajevi?;Yugoslavia;3;;249
13;Héctor Yazalde;Argentina;2;;257
14;Jairzinho;Brazil;2;;630
15;Joachim Streich;East Germany;2;;349
16;Emmanuel Sanon;Haiti;2;;270
17;Joe Jordan;Scotland;2;;270
18;Roland Sandberg;Sweden;2;;540
19;Wolfgang Overath;West Germany;2;;592
20;Ivica Šurjak;Yugoslavia;2;;540
21;Stanislav Karasi;Yugoslavia;2;;222
22;Ramón Heredia;Argentina;1;;540
23;Carlos Babington;Argentina;1;;450
24;Miguel Ángel Brindisi;Argentina;1;;258
25;Rubén Ayala;Argentina;1;;540
26;Valdomiro;Brazil;1;;531
27;Hristo Bonev ;Bulgaria;1;;270
28;Sergio Ahumada;Chile;1;;270
29;Jürgen Sparwasser;East Germany;1;;540
30;Martin Hoffmann;East Germany;1;;486
31;Romeo Benetti;Italy;1;;270
32;Fabio Capello;Italy;1;;270
33;Gianni Rivera;Italy;1;;155
34;Pietro Anastasi;Italy;1;;201
35;Ruud Krol;Netherlands;1;;630
36;Theo de Jong;Netherlands;1;;77
37;Rob Rensenbrink;Netherlands;1;;471
38;Jerzy Gorgo?;Poland;1;;630
39;Peter Lorimer;Scotland;1;;270
40;Conny Torstensson;Sweden;1;;375
41;Ricardo Pavoni;Uruguay;1;;270
42;Bernhard Cullmann;West Germany;1;;246
43;Rainer Bonhof;West Germany;1;;360
44;Jürgen Grabowski;West Germany;1;;477
45;Uli Hoeneß;West Germany;1;;558
46;Josip Katalinski;Yugoslavia;1;;540
47;Vladislav Bogi?evi?;Yugoslavia;1;;450
48;Branko Oblak;Yugoslavia;1;;368
49;Ilija Petkovi?;Yugoslavia;1;;357
50;Dragan Džaji? ;Yugoslavia;1;;443
