group;team;matches_played;wins;draws;losses;goals_for;goals_against;goal_difference;points
1;Italy;3;3;0;0;6;2;4;6
1;Argentina;3;2;0;1;4;3;1;4
1;France;3;1;0;2;5;5;0;2
1;Hungary;3;0;0;3;3;8;-5;0
2;Poland;3;2;1;0;4;1;3;5
2;West Germany;3;1;2;0;6;0;6;4
2;Tunisia;3;1;1;1;3;2;1;3
2;Mexico;3;0;0;3;2;12;-10;0
3;Austria;3;2;0;1;3;2;1;4
3;Brazil;3;1;2;0;2;1;1;4
3;Spain;3;1;1;1;2;2;0;3
3;Sweden;3;0;1;2;1;3;-2;1
4;Peru;3;2;1;0;7;2;5;5
4;Netherlands;3;1;1;1;5;3;2;3
4;Scotland;3;1;1;1;5;6;-1;3
4;Iran;3;0;1;2;2;8;-6;1
A;Netherlands;3;2;1;0;9;4;5;5
A;Italy;3;1;1;1;2;2;0;3
A;West Germany;3;0;2;1;4;5;-1;2
A;Austria;3;1;0;2;4;8;-4;2
B;Argentina;3;2;1;0;8;0;8;5
B;Brazil;3;2;1;0;6;1;5;5
B;Poland;3;1;0;2;2;5;-3;2
B;Peru;3;0;0;3;0;10;-10;0
