match_id;date;team1;team2;score1;score2;stage;stadium;city;group;attendance;obs
1;13-06-1982;Argentina;Belgium;0;1;First Group Stage;Camp Nou;Barcelona;3;95000;
2;14-06-1982;Italy;Poland;0;0;First Group Stage;Balaidos;Vigo;1;33040;
3;14-06-1982;Brazil;Soviet Union;2;1;First Group Stage;Ramon Sanchez Pizjuan;Sevilla;6;68000;
4;15-06-1982;Peru;Cameroon;0;0;First Group Stage;Riazor;La Coruña;1;11000;
5;15-06-1982;Hungary;El Salvador;10;1;First Group Stage;Nuevo Estadio;Elche;3;23000;
6;15-06-1982;Scotland;New Zealand;5;2;First Group Stage;La Rosaleda;Malaga;6;36000;
7;16-06-1982;West Germany;Algeria;1;2;First Group Stage;El Molinon;Gijon;2;42000;
8;16-06-1982;England;France;3;1;First Group Stage;San Mames;Bilbao;4;44172;
9;16-06-1982;Spain;Honduras;1;1;First Group Stage;Luis Casanova;Valencia;5;49562;
10;17-06-1982;Chile;Austria;0;1;First Group Stage;Carlos Tartiere;Oviedo;2;22500;
11;17-06-1982;Czechoslovaquia;Kuwait;1;1;First Group Stage;Jose Zorrilla;Valladolid;4;25000;
12;17-06-1982;Yugoslavia;Northern Ireland;0;0;First Group Stage;La Romareda;Zaragoza;5;25000;
13;18-06-1982;Italy;Peru;1;1;First Group Stage;Balaidos;Vigo;1;25000;
14;18-06-1982;Argentina;Hungary;4;1;First Group Stage;Jose Rico Perez;Alicante;3;32093;
15;18-06-1982;Brazil;Scotland;4;1;First Group Stage;Benito Villamarin;Sevilla;6;47379;
16;19-06-1982;Poland;Cameroon;0;0;First Group Stage;Riazor;La Coruña;1;19000;
17;19-06-1982;Belgium;El Salvador;1;0;First Group Stage;Nuevo Estadio;Elche;3;15000;
18;19-06-1982;Soviet Union;New Zealand;3;0;First Group Stage;La Rosaleda;Malaga;6;19000;
19;20-06-1982;West Germany;Chile;4;1;First Group Stage;El Molinon;Gijon;2;42000;
20;20-06-1982;England;Czechoslovaquia;2;0;First Group Stage;San Mames;Bilbao;4;41123;
21;20-06-1982;Spain;Yugoslavia;2;1;First Group Stage;Luis Casanova;Valencia;5;48000;
22;21-06-1982;Algeria;Austria;0;2;First Group Stage;Carlos Tartiere;Oviedo;2;22000;
23;21-06-1982;France;Kuwait;4;1;First Group Stage;Jose Zorrilla;Valladolid;4;30043;
24;21-06-1982;Honduras;Northern Ireland;1;1;First Group Stage;La Romareda;Zaragoza;5;15000;
25;22-06-1982;Poland;Peru;5;1;First Group Stage;Riazor;La Coruña;1;25000;
26;22-06-1982;Belgium;Hungary;1;1;First Group Stage;Nuevo Estadio;Elche;3;37000;
27;22-06-1982;Soviet Union;Scotland;2;2;First Group Stage;La Rosaleda;Malaga;6;45000;
28;23-06-1982;Italy;Cameroon;1;1;First Group Stage;Balaidos;Vigo;1;20000;
29;23-06-1982;Argentina;El Salvador;2;0;First Group Stage;Jose Rico Perez;Alicante;3;32500;
30;23-06-1982;Brazil;New Zealand;4;0;First Group Stage;Benito Villamarin;Sevilla;6;43000;
31;24-06-1982;Algeria;Chile;3;2;First Group Stage;Carlos Tartiere;Oviedo;2;16000;
32;24-06-1982;France;Czechoslovaquia;1;1;First Group Stage;Jose Zorrilla;Valladolid;4;28000;
33;24-06-1982;Honduras;Yugoslavia;0;1;First Group Stage;La Romareda;Zaragoza;5;25000;
34;25-06-1982;West Germany;Austria;1;0;First Group Stage;El Molinon;Gijon;2;41000;
35;25-06-1982;England;Kuwait;1;0;First Group Stage;San Mames;Bilbao;4;39700;
36;25-06-1982;Spain;Northern Ireland;0;1;First Group Stage;Luis Casanova;Valencia;5;49562;
37;28-06-1982;Poland;Belgium;3;0;Second Group Stage;Camp Nou;Barcelona;A;65000;
38;28-06-1982;Austria;France;0;1;Second Group Stage;Vicente Calderon;Madrid;D;37000;
39;29-06-1982;West Germany;England;0;0;Second Group Stage;Santiago Bernabeu;Madrid;B;75000;
40;29-06-1982;Italy;Argentina;2;1;Second Group Stage;Sarria;Barcelona;C;43000;
41;01-07-1982;Belgium;Soviet Union;0;1;Second Group Stage;Camp Nou;Barcelona;A;45000;
42;01-07-1982;Austria;Northern Ireland;2;2;Second Group Stage;Vicente Calderon;Madrid;D;20000;
43;02-07-1982;West Germany;Spain;2;1;Second Group Stage;Santiago Bernabeu;Madrid;B;90089;
44;02-07-1982;Argentina;Brazil;1;3;Second Group Stage;Sarria;Barcelona;C;44000;
45;04-07-1982;Soviet Union;Poland;0;0;Second Group Stage;Camp Nou;Barcelona;A;65000;
46;04-07-1982;France;Northern Ireland;4;1;Second Group Stage;Vicente Calderon;Madrid;D;37000;
47;05-07-1982;Spain;England;0;0;Second Group Stage;Santiago Bernabeu;Madrid;B;75000;
48;05-07-1982;Italy;Brazil;3;2;Second Group Stage;Sarria;Barcelona;C;44000;
49;08-07-1982;Poland;Italy;0;2;Semi-final;Camp Nou;Barcelona;SF;50000;
50;08-07-1982;West Germany;France;3;3;Semi-final;Ramon Sanchez Pizjuan;Sevilla;SF;70000;PSO: West Germany 5 France 4
51;10-07-1982;Poland;France;3;2;Third Place Play-off;Jose Rico Perez;Alicante;3rd;28000;
52;11-07-1982;Italy;West Germany;3;1;Final;Santiago Bernabeu;Madrid;Final;90000;
