player_id,dorsal,Player,position,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR
5166,1,Mehdi Cerbah,GK,Algeria,3,3,270,0,,0,0
4727,21,Mourad Amara,GK,Algeria,0,0,0,0,,0,0
5167,22,Yacine Bentalaa,GK,Algeria,0,0,0,0,,0,0
4728,2,Mahmoud Guendouz,DF,Algeria,3,3,270,0,,0,0
5168,3,Mustapha Kouici,DF,Algeria,0,0,0,0,,0,0
4729,4,Noureddine Kourichi,DF,Algeria,3,3,270,0,,0,0
5169,5,Chaâbane Merzekane,DF,Algeria,3,3,270,0,,0,0
4732,16,Faouzi Mansouri,DF,Algeria,3,3,254,0,,1,0
5567,17,Abdelkader Horr,DF,Algeria,0,0,0,0,,0,0
5170,8,Ali Fergani ,MF,Algeria,3,3,270,0,,0,0
4738,10,Lakhdar Belloumi,MF,Algeria,2,2,154,1,,0,0
5171,12,Salah Larbès,MF,Algeria,2,1,93,0,,0,0
5172,13,Hocine Yahi,MF,Algeria,1,0,60,0,,0,0
5173,15,Mustapha Dahleb,MF,Algeria,3,2,181,0,,0,0
4737,18,Karim Maroc,MF,Algeria,0,0,0,0,,0,0
5174,19,Djamel Tlemçani,MF,Algeria,1,0,15,0,,0,0
5175,6,Ali Bencheikh,FW,Algeria,0,0,0,0,,0,0
4741,7,Salah Assad,FW,Algeria,3,3,270,2,,0,0
4744,9,Tedj Bensaoula,FW,Algeria,3,1,143,1,,0,0
4743,11,Rabah Madjer,FW,Algeria,3,3,267,1,,1,0
4746,14,Djamel Zidane,FW,Algeria,2,2,153,0,,0,0
5176,20,Abdelmajid Bourebbou,FW,Algeria,1,1,30,0,,0,0
5177,2,Héctor Baley,GK,Argentina,0,0,0,0,,0,0
5178,7,Ubaldo Fillol,GK,Argentina,5,5,450,0,,0,0
4338,16,Nery Pumpido,GK,Argentina,0,0,0,0,,0,0
5179,8,Luis Galván,DF,Argentina,5,5,450,0,,0,0
4345,13,Julio Olarticoechea,DF,Argentina,0,0,0,0,,0,0
5180,14,Jorge Olguín,DF,Argentina,5,5,450,0,,1,0
4749,15,Daniel Passarella ,DF,Argentina,5,5,450,2,,1,0
5181,18,Alberto Tarantini,DF,Argentina,5,5,410,0,,0,0
5182,19,Enzo Trossero,DF,Argentina,0,0,0,0,,0,0
