ggroup,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Italy,3,3,0,0,4,0,4,6
A,Czechoslovakia,3,2,0,1,6,3,3,4
A,Austria,3,1,0,2,2,3,-1,2
A,United States,3,0,0,3,2,8,-6,0
B,Cameroon,3,2,0,1,3,5,-2,4
B,Romania,3,1,1,1,4,3,1,3
B,Argentina,3,1,1,1,3,2,1,3
B,Soviet Union,3,1,0,2,4,4,0,2
C,Brazil,3,3,0,0,4,1,3,6
C,Costa Rica,3,2,0,1,3,2,1,4
C,Scotland,3,1,0,2,2,3,-1,2
C,Sweden,3,0,0,3,3,6,-3,0
D,West Germany,3,2,1,0,10,3,7,5
D,Yugoslavia,3,2,0,1,6,5,1,4
D,Colombia,3,1,1,1,3,2,1,3
D,United Arab Emirates,3,0,0,3,2,11,-9,0
E,Spain,3,2,1,0,5,2,3,5
E,Belgium,3,2,0,1,6,3,3,4
E,Uruguay,3,1,1,1,2,3,-1,3
E,South Korea,3,0,0,3,1,6,-5,0
F,England,3,1,2,0,2,1,1,4
F,Republic of Ireland,3,0,3,0,2,2,0,3
F,Netherlands,3,0,3,0,2,2,0,3
F,Egypt,3,0,2,1,1,2,-1,2
