team_id,team_name,group,coach
1,Brazil,A,Mario Zagallo
2,Scotland,A,Craig Brown
3,Morocco,A,Henri Michel
4,Norway,A,Egil Olsen
5,Italy,B,Cesare Maldini
6,Chile,B,Nelson Acosta
7,Cameroon,B,Claude Le Roy
8,Austria,B,Herbert Prohaska
9,France,C,Aimé Jacquet
10,South Africa,C,Philippe Troussier
11,Saudi Arabia,C,Carlos Alberto Parreira
12,Denmark,C,Bo Johansson
13,Spain,D,Javier Clemente
14,Nigeria,D,Bora Milutinovic
15,Paraguay,D,Paulo César Carpegiani
16,Bulgaria,D,Hristo Bonev
17,Netherlands,E,Guus Hiddink
18,Mexico,E,Manuel Lapuente
19,Belgium,E,Georges Leekens
20,South Korea,E,Cha Bum-kun
21,Germany,F,Berti Vogts
22,Yugoslavia,F,Slobodan Santrac
23,Iran,F,Jalal Talebi
24,United States,F,Steve Sampson
25,Romania,G,Anghel Iordanescu
26,England,G,Glenn Hoddle
27,Colombia,G,Hernan Dario Gomez
28,Tunisia,G,Henri Kasperczak
29,Argentina,H,Daniel Passarella
30,Croatia,H,Miroslav Blacevic
31,Jamaica,H,Rene Simoes
32,Japan,H,Takeshi Okada
