match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,2006-06-09,Germany,Costa Rica,4,2,Group Stage,Allianz Arena,Munich,A,66000,
2,2006-06-09,Poland,Ecuador,0,2,Group Stage,FIFA WM-Stadion Hamburg,Hamburg,A,50000,
3,2006-06-10,England,Paraguay,1,0,Group Stage,Commerzbank-Arena,Frankfurt,B,48000,
4,2006-06-10,Trinidad and Tobago,Sweden,0,0,Group Stage,Signal Iduna Park,Dortmund,B,65000,
5,2006-06-10,Argentina,Ivory Coast,2,1,Group Stage,FIFA WM-Stadion Hamburg,Hamburg,C,50000,
6,2006-06-11,Serbia and Montenegro,Netherlands,0,1,Group Stage,Zentralstadion,Leipzig,C,43000,
7,2006-06-11,Mexico,Iran,3,1,Group Stage,Frankenstadion,Nuremberg,D,41000,
8,2006-06-11,Angola,Portugal,0,1,Group Stage,RheinEnergieStadion,Cologne,D,40000,
9,2006-06-12,Italy,Ghana,2,0,Group Stage,AWD-Arena,Hannover,E,43000,
10,2006-06-12,United States,Czech Republic,0,3,Group Stage,Veltins-Arena,Gelsenkirchen,E,52000,
11,2006-06-12,Australia,Japan,3,1,Group Stage,Fritz-Walter-Stadion,Kaiserslautern,F,46000,
12,2006-06-13,Brazil,Croatia,1,0,Group Stage,Olympiastadion,Berlin,F,72000,
13,2006-06-13,France,Switzerland,0,0,Group Stage,Gottlieb-Daimler-Stadion,Stuttgart,G,52000,
14,2006-06-13,South Korea,Togo,2,1,Group Stage,Commerzbank-Arena,Frankfurt,G,48000,
15,2006-06-14,Spain,Ukraine,4,0,Group Stage,Zentralstadion,Leipzig,H,43000,
16,2006-06-14,Tunisia,Saudi Arabia,2,2,Group Stage,Allianz Arena,Munich,H,66000,
17,2006-06-14,Germany,Poland,1,0,Group Stage,Signal Iduna Park,Dortmund,A,65000,
18,2006-06-15,Ecuador,Costa Rica,3,0,Group Stage,FIFA WM-Stadion Hamburg,Hamburg,A,50000,
19,2006-06-15,England,Trinidad and Tobago,2,0,Group Stage,Fritz-Walter-Stadion,Kaiserslautern,B,46000,
20,2006-06-15,Sweden,Paraguay,1,0,Group Stage,Olympiastadion,Berlin,B,72000,
21,2006-06-16,Argentina,Serbia and Montenegro,6,0,Group Stage,Veltins-Arena,Gelsenkirchen,C,52000,
22,2006-06-16,Netherlands,Ivory Coast,2,1,Group Stage,Gottlieb-Daimler-Stadion,Stuttgart,C,52000,
23,2006-06-16,Mexico,Angola,0,0,Group Stage,AWD-Arena,Hannover,D,43000,
24,2006-06-17,Portugal,Iran,2,0,Group Stage,Commerzbank-Arena,Frankfurt,D,48000,
25,2006-06-17,Italy,United States,1,1,Group Stage,Fritz-Walter-Stadion,Kaiserslautern,E,46000,
26,2006-06-17,Czech Republic,Ghana,0,2,Group Stage,RheinEnergieStadion,Cologne,E,40000,
27,2006-06-18,Brazil,Australia,2,0,Group Stage,Allianz Arena,Munich,F,66000,
28,2006-06-18,Japan,Croatia,0,0,Group Stage,Frankenstadion,Nuremberg,F,41000,
29,2006-06-18,France,South Korea,1,1,Group Stage,Zentralstadion,Leipzig,G,43000,
30,2006-06-19,Togo,Switzerland,0,2,Group Stage,Signal Iduna Park,Dortmund,G,65000,
31,2006-06-19,Spain,Tunisia,3,1,Group Stage,Gottlieb-Daimler-Stadion,Stuttgart,H,52000,
