nombre_jugador,seleccion_autor,seleccion_beneficiada,minuto,fecha,instancia
Damian Bobadilla,Paraguay,United States,7,12-06-2026,Group Stage
Miro Muheim,Switzerland,Qatar,90,13-06-2026,Group Stage
Mohamed Hany,Egypt,Belgium,66,15-06-2026,Group Stage
Aymen Hussein,Iraq,Norway,90,16-06-2026,Group Stage
Mohamed Manai,Qatar,Canada,75,18-06-2026,Group Stage
Cameron Burgess,Australia,United States,11,19-06-2026,Group Stage
Hassan Al-Tambakti,Saudi Arabia,Spain,49,21-06-2026,Group Stage
Abduvohid Nematov,Uzbekistan,Portugal,60,23-06-2026,Group Stage
Yassine Bounou,Morocco,Haiti,10,24-06-2026,Group Stage
Mahmud Abunada,Qatar,Bosnia and Herzegovina,34,24-06-2026,Group Stage
Ellyes Skhiri,Tunisia,Netherlands,3,25-06-2026,Group Stage
Mohamed Hany,Egypt,Australia,55,03-07-2026,Round of 32
Diney,Cape Verde,Argentina,111,03-07-2026,Round of 32
