stadium_id,stadium_name,city,capacity
1,Estadio Azteca,Ciudad de Mexico,80824
2,MetLife Stadium,New Jersey,80663
3,AT&T Stadium,Dallas,70649
4,SoFi Stadium,Los Angeles,70492
5,Arrowhead Stadium,Kansas City,69045
6,Levi's Stadium,San Francisco,68827
7,NRG Stadium,Houston,68777
8,Lincoln Financial Field,Philadelphia,68324
9,Mercedes-Benz Stadium,Atlanta,68239
10,Lumen Field,Seattle,66925
11,Hard Rock Stadium,Miami,64478
12,Gillette Stadium,Boston,64146
13,BC Place,Vancouver,52497
14,Estadio BBVA,Monterrey,51243
15,Akron,Guadalajara,45664
16,BMO Field,Toronto,43036
