id_club,nombre_anterior,nombre_actual,pais
1,Austria Salzburg,Red Bull Salzburg,Austria
2,Metrostars,New York Red Bulls,USA
3,Croatia Zagreb,Dinamo Zagreb,Croatia
4,Yukong Elephants,Jeju United,South Korea
5,Ilhwa Chunma,Seongnam FC,South Korea
6,Hitachi,Kashiwa Reysol,Japan
7,Mitsubishi,Urawa Red Diamonds,Japan
8,Sumitomo Metal,Kashima Antlers,Japan
9,Verdy Kawasaki,Tokyo Verdy,Japan
10,Buducnost Titograd,Buducnost Podgorica,Montenegro
11,Vitosha Sofia,Levski Sofia,Bulgaria
12,Sredec Sofia,CSKA Sofia,Bulgaria
13,Trakia Plovdiv,Botev Plovdiv,Bulgaria
14,Videoton,Fehervar,Hungary
15,MTK Hungaria,MTK Budupesti,Hungary
16,Zenit Leningrad,Zenit St. Petersburg,Russia
