player_id,world_cup_year,team,club,country_club
1,2022,Argentina,Aston Villa,England
2,2018,Argentina,River Plate,Argentina
2,2022,Argentina,River Plate,Argentina
3,2022,Argentina,Villarreal,Spain
4,2010,Argentina,Velez Sarsfield,Argentina
4,2018,Argentina,Manchester City,England
4,2022,Argentina,Benfica,Portugal
5,2018,Argentina,Sporting CP,Portugal
5,2022,Argentina,Sevilla,Spain
6,2018,Argentina,Ajax,Netherlands
6,2022,Argentina,Lyon,France
7,2022,Argentina,Real Betis,Spain
8,2022,Argentina,Atletico Madrid,Spain
9,2022,Argentina,Sevilla,Spain
10,2022,Argentina,Villarreal,Spain
11,2022,Argentina,Tottenham,England
12,2022,Argentina,Manchester United,England
13,2022,Argentina,Juventus,Italy
14,2022,Argentina,Atletico Madrid,Spain
15,2022,Argentina,Real Betis,Spain
16,2022,Argentina,Bayer Leverkusen,Germany
17,2022,Argentina,Brighton,England
18,2022,Argentina,Benfica,Portugal
19,2022,Argentina,Atlanta United,USA
20,2010,Argentina,Barcelona,Spain
20,2014,Argentina,Barcelona,Spain
20,2018,Argentina,Barcelona,Spain
20,2022,Argentina,PSG,France
21,2022,Argentina,Internazionale,Italy
22,2018,Argentina,Juventus,Italy
22,2022,Argentina,Roma,Italy
23,2022,Argentina,Internazionale,Italy
24,2022,Argentina,Manchester City,England
25,2010,Argentina,Benfica,Portugal
25,2014,Argentina,Real Madrid,Spain
25,2018,Argentina,PSG,France
25,2022,Argentina,Juventus,Italy
26,2022,Argentina,Atletico Madrid,Spain
27,2014,Australia,Club Brugge,Belgium
27,2018,Australia,Brighton,England
27,2022,Australia,Copenhagen,Denmark
28,2018,Australia,Genk,Belgium
28,2022,Australia,Central Coast Mariners,Australia
29,2022,Australia,Sydney,Australia
30,2022,Australia,Dundee United,Scotland
31,2018,Australia,Yokohama Marinos,Japan
31,2022,Australia,Columbus Crew,USA
32,2014,Australia,Preston North End,England
32,2022,Australia,Sunderland,England
33,2022,Australia,Brescia,Italy
34,2022,Australia,Stoke City,England
35,2022,Australia,Hearts,Scotland
36,2022,Australia,OB,Denmark
37,2022,Australia,Hearts,Scotland
38,2022,Australia,Albirex Niigata,Japan
39,2018,Australia,Huddersfield Town,England
39,2022,Australia,Celtic,Scotland
40,2018,Australia,Hull City,England
