player_id,dorsal,player_name,birth_date,position,nationality
1,23,Emiliano Martinez,02-09-1992,GK,Argentina
2,1,Franco Armani,16-10-1986,GK,Argentina
3,12,Geronimo Rulli,20-05-1992,GK,Argentina
4,19,Nicolas Otamendi,12-02-1988,DF,Argentina
5,8,Marcos Acuna,28-10-1991,DF,Argentina
6,3,Nicolas Tagliafico,31-08-1992,DF,Argentina
7,6,German Pezzella,27-06-1991,DF,Argentina
8,26,Nahuel Molina,06-04-1998,DF,Argentina
9,4,Gonzalo Montiel,01-01-1997,DF,Argentina
10,2,Juan Foyth,12-01-1998,DF,Argentina
11,13,Cristian Romero,27-04-1998,DF,Argentina
12,25,Lisandro Martinez,18-01-1998,DF,Argentina
13,5,Leandro Paredes,29-06-1994,MF,Argentina
14,7,Rodrigo De Paul,24-05-1994,MF,Argentina
15,18,Guido Rodriguez,12-04-1994,MF,Argentina
16,14,Exequiel Palacios,05-10-1998,MF,Argentina
17,20,Alexis Mac Allister,24-12-1998,MF,Argentina
18,24,Enzo Fernandez,17-01-2001,MF,Argentina
19,17,Alejandro Gomez,26-04-2001,MF,Argentina
20,10,Lionel Messi ??,24-06-1987,FW,Argentina
21,22,Lautaro Martinez,22-08-1997,FW,Argentina
22,21,Paulo Dybala,15-11-1993,FW,Argentina
23,16,Thiago Almada,26-04-2001,FW,Argentina
24,9,Julian Alvarez,31-01-2000,FW,Argentina
25,11,Angel Di Maria,14-02-1988,FW,Argentina
26,15,Angel Correa,09-03-1995,FW,Argentina
27,1,Mat Ryan,08-04-1992,GK,Australia
28,18,Danny Vukovic,27-03-1985,GK,Australia
29,12,Andrew Redmayne,13-01-1989,GK,Australia
30,16,Aziz Behic,16-10-1990,DF,Australia
31,2,Milos Degenek,28-04-1994,DF,Australia
32,8,Bailey Wright,28-07-1992,DF,Australia
33,5,Fran Karacic,12-05-1996,DF,Australia
34,19,Harry Souttar,22-10-1998,DF,Australia
35,3,Nathaniel Atkinson,13-06-1999,DF,Australia
36,24,Joel King,30-10-2000,DF,Australia
37,4,Kye Rowles,24-06-1998,DF,Australia
38,20,Thomas Deng,20-03-1997,DF,Australia
39,13,Aaron Mooy,15-09-1990,MF,Australia
40,22,Jackson Irvine,07-03-1993,MF,Australia
41,10,Ajdin Hrustic,05-07-1996,MF,Australia
42,14,Riley McGree,02-11-1998,MF,Australia
43,26,Keanu Baccus,07-06-1998,MF,Australia
44,17,Cameron Devlin,07-06-1998,MF,Australia
45,7,Mathew Leckie,04-02-1991,FW,Australia
46,11,Awer Mabil,15-09-1995,FW,Australia
47,9,Jamie Maclaren,29-07-1993,FW,Australia
48,15,Mitchell Duke,18-01-1991,FW,Australia
49,6,Marco Tilio,25-04-1993,FW,Australia
50,23,Craig Goodwin,16-12-1991,FW,Australia
51,25,Jason Cummings,01-08-1995,FW,Australia
52,21,Garang Kuol,15-09-2004,FW,Australia
53,1,Thibaut Courtois,11-05-1992,GK,Belgium
54,12,Simon Mignolet,06-03-1988,GK,Belgium
55,13,Koen Casteels,25-06-1992,GK,Belgium
56,2,Toby Alderweireld,02-03-1989,DF,Belgium
57,3,Arthur Theate,25-05-2000,DF,Belgium
58,26,Zeno Debast,24-10-2003,DF,Belgium
59,5,Jan Vertonghen,24-04-1987,DF,Belgium
60,4,Wout Faes,03-04-1998,DF,Belgium
61,21,Timothy Castagne,05-12-1995,DF,Belgium
62,15,Thomas Meunier,12-09-1991,DF,Belgium
63,16,Thorgan Hazard,29-03-1993,MF,Belgium
64,7,Kevin De Bruyne,28-06-1991,MF,Belgium
65,11,Yannick Carrasco,04-09-1993,MF,Belgium
66,19,Leander Dendoncker,15-04-1995,MF,Belgium
67,8,Youri Tielemans,07-05-1997,MF,Belgium
68,20,Hans Vanaken,24-08-1992,MF,Belgium
69,6,Axel Witsel,12-01-1989,MF,Belgium
70,22,Charles De Ketelaere,10-03-2001,MF,Belgium
71,18,Amadou Onana,16-08-2001,MF,Belgium
72,25,Jeremy Doku,27-05-2002,FW,Belgium
73,10,Eden Hazard,07-01-1991,FW,Belgium
74,14,Dries Mertens,06-05-1987,FW,Belgium
75,17,Leandro Trossard,04-12-1994,FW,Belgium
76,23,Michy Batshuayi,02-10-1993,FW,Belgium
77,24,Lois Openda,16-02-2000,FW,Belgium
78,9,Romelu Lukaku,13-05-1993,FW,Belgium
79,1,Alisson,02-10-1992,GK,Brazil
80,23,Ederson,17-08-1993,GK,Brazil
81,12,Weverton,13-12-1987,GK,Brazil
82,13,Dani Alves,06-05-1983,DF,Brazil
83,3,Thiago Silva,22-09-1984,DF,Brazil
84,4,Marquinhos,14-05-1994,DF,Brazil
